,Cluster No,Day,Time,Date,Month,Year,Previous_price,Demand_(MW),CCGT_Gen,Oil_Gen,Coal_Gen,Nuclear_Gen,Wind_Gen,NPS_Hydro_Gen,Solar_Gen
01/02/2017_00:00,,3,0,1,2,2017,43.96,31279,12168,0,7869,7443,2396,314,0
01/02/2017_01:00,,3,1,1,2,2017,42.06,31325,11232,0,7962,7448,2581,277,0
01/02/2017_02:00,,3,2,1,2,2017,40.86,30412,9868,0,7313,7449,2829,305,0
01/02/2017_03:00,,3,3,1,2,2017,38,29794,9437,0,6848,7451,2998,301,0
01/02/2017_04:00,,3,4,1,2,2017,37.99,29057,9774,0,7281,7453,3087,344,0
01/02/2017_05:00,,3,5,1,2,2017,41.45,29642,10093,0,7426,7451,3219,368,0
01/02/2017_06:00,,3,6,1,2,2017,48.73,33929,12418,0,8278,7453,3373,369,0
01/02/2017_07:00,,3,7,1,2,2017,47.53,41468,17941,0,8947,7447,3787,465,0
01/02/2017_08:00,,3,8,1,2,2017,50.54,43785,20318,0,8728,7448,4038,468,48
01/02/2017_09:00,,3,9,1,2,2017,53.72,44652,20579,0,8240,7450,4341,533,289
01/02/2017_10:00,,3,10,1,2,2017,54.88,44888,20115,0,8190,7448,4648,559,616
01/02/2017_11:00,,3,11,1,2,2017,51.99,45053,20009,0,8187,7451,5269,448,987
01/02/2017_12:00,,3,12,1,2,2017,48.05,44865,20129,0,8174,7451,5556,438,1290
01/02/2017_13:00,,3,13,1,2,2017,47.57,44365,18839,0,8132,7448,6050,361,1380
01/02/2017_14:00,,3,14,1,2,2017,47.27,44137,18401,0,7808,7448,6502,356,1250
01/02/2017_15:00,,3,15,1,2,2017,56.46,43362,17170,0,7524,7452,7180,509,715
01/02/2017_16:00,,3,16,1,2,2017,62.99,44634,17188,0,7723,7449,7488,602,224
01/02/2017_17:00,,3,17,1,2,2017,122.37,48308,20346,0,7954,7439,7796,749,0
01/02/2017_18:00,,3,18,1,2,2017,80.01,48177,20048,0,8411,7444,8395,780,0
01/02/2017_19:00,,3,19,1,2,2017,59.95,46365,18971,0,7824,7445,8708,618,0
01/02/2017_20:00,,3,20,1,2,2017,54.33,43537,15656,0,7705,7450,8534,572,0
01/02/2017_21:00,,3,21,1,2,2017,49.83,39735,12499,0,6489,7448,8795,479,0
01/02/2017_22:00,,3,22,1,2,2017,43.59,35339,8562,0,5941,7451,8453,430,0
01/02/2017_23:00,,3,23,1,2,2017,42.55,31424,5796,0,5210,7445,8389,312,0
02/02/2017_00:00,,4,0,2,2,2017,42.15,30115,5218,0,5197,7445,8291,265,0
02/02/2017_01:00,,4,1,2,2,2017,41.54,29935,5352,0,5497,7443,8173,230,0
02/02/2017_02:00,,4,2,2,2,2017,39.43,29006,5295,0,4855,7448,8252,266,0
02/02/2017_03:00,,4,3,2,2,2017,36.86,28265,5084,0,4433,7445,8505,262,0
02/02/2017_04:00,,4,4,2,2,2017,37.54,27485,4689,0,3860,7452,8676,267,0
02/02/2017_05:00,,4,5,2,2,2017,41.53,28229,5221,0,3985,7445,8615,348,0
02/02/2017_06:00,,4,6,2,2,2017,48.88,32229,6692,0,4660,7442,8783,355,0
02/02/2017_07:00,,4,7,2,2,2017,50.84,39507,11408,0,5931,7445,9467,500,0
02/02/2017_08:00,,4,8,2,2,2017,53,42076,13601,0,6444,7442,9439,513,138
02/02/2017_09:00,,4,9,2,2,2017,58.96,42825,13617,0,6606,7443,9539,601,477
02/02/2017_10:00,,4,10,2,2,2017,52.96,43056,13232,0,6789,7443,9712,613,840
02/02/2017_11:00,,4,11,2,2,2017,46.57,43441,13511,0,6801,7445,9785,474,927
02/02/2017_12:00,,4,12,2,2,2017,46.51,43887,13951,0,6711,7455,9865,465,918
02/02/2017_13:00,,4,13,2,2,2017,46.08,43394,13532,0,6595,7456,9938,399,1000
02/02/2017_14:00,,4,14,2,2,2017,47.42,42849,13136,0,6610,7446,9975,450,807
02/02/2017_15:00,,4,15,2,2,2017,57.5,42437,12595,0,6904,7445,10057,601,454
02/02/2017_16:00,,4,16,2,2,2017,65.59,43504,13610,0,7067,7453,10241,640,207
02/02/2017_17:00,,4,17,2,2,2017,125,46870,15973,0,7170,7442,10458,841,0
02/02/2017_18:00,,4,18,2,2,2017,77.95,46950,16216,0,7356,7448,10339,811,0
02/02/2017_19:00,,4,19,2,2,2017,59.02,45310,15560,0,7209,7443,10286,711,0
02/02/2017_20:00,,4,20,2,2,2017,52.17,42768,13154,0,6918,7449,10460,699,0
02/02/2017_21:00,,4,21,2,2,2017,47.29,39024,9358,0,6615,7450,10575,516,0
02/02/2017_22:00,,4,22,2,2,2017,41.53,34798,5624,0,6468,7445,10115,477,0
02/02/2017_23:00,,4,23,2,2,2017,43.6,30713,3926,0,4796,7447,9851,424,0
03/02/2017_00:00,,5,0,3,2,2017,44.96,29360,3731,0,5023,7446,9552,326,0
03/02/2017_01:00,,5,1,3,2,2017,43.41,29487,3844,0,5784,7446,9334,313,0
03/02/2017_02:00,,5,2,3,2,2017,40.1,28406,3503,0,5160,7449,9350,308,0
03/02/2017_03:00,,5,3,3,2,2017,38.93,27799,3701,0,4747,7448,9382,309,0
03/02/2017_04:00,,5,4,3,2,2017,38,27261,3907,0,4229,7448,9063,351,0
03/02/2017_05:00,,5,5,3,2,2017,41.91,28169,4139,0,4744,7447,8619,452,0
03/02/2017_06:00,,5,6,3,2,2017,46.69,32552,5861,0,6384,7450,8141,458,0
03/02/2017_07:00,,5,7,3,2,2017,46.67,40293,12277,0,6935,7448,8562,614,0
03/02/2017_08:00,,5,8,3,2,2017,54.98,42691,14399,0,6867,7447,8310,658,354
03/02/2017_09:00,,5,9,3,2,2017,54.47,43625,15211,0,6871,7448,7538,687,1420
03/02/2017_10:00,,5,10,3,2,2017,50.72,43924,14743,0,6855,7446,7774,699,2180
03/02/2017_11:00,,5,11,3,2,2017,47.06,43975,14909,0,6910,7450,7587,615,2310
03/02/2017_12:00,,5,12,3,2,2017,48.34,44041,15654,0,6873,7447,6987,618,2410
03/02/2017_13:00,,5,13,3,2,2017,46.59,42828,15725,0,6882,7453,6116,635,2110
03/02/2017_14:00,,5,14,3,2,2017,46.06,42484,15665,0,6917,7455,6576,636,1200
03/02/2017_15:00,,5,15,3,2,2017,46.53,42011,15102,0,7451,7450,6995,714,570
03/02/2017_16:00,,5,16,3,2,2017,58.74,43303,15943,0,8188,7447,7094,742,136
03/02/2017_17:00,,5,17,3,2,2017,99,46696,17581,0,8458,7452,7490,1175,0
03/02/2017_18:00,,5,18,3,2,2017,61.23,46420,17438,0,8319,7442,7827,1070,0
03/02/2017_19:00,,5,19,3,2,2017,50.07,44662,16195,0,8300,7443,8205,806,0
03/02/2017_20:00,,5,20,3,2,2017,50,41938,13454,0,7891,7445,8600,806,0
03/02/2017_21:00,,5,21,3,2,2017,51.51,38760,10389,0,7488,7450,8793,584,0
03/02/2017_22:00,,5,22,3,2,2017,42.07,35077,6999,0,7321,7449,8804,550,0
03/02/2017_23:00,,5,23,3,2,2017,45.97,32083,5345,0,6416,7446,8770,486,0
04/02/2017_00:00,,6,0,4,2,2017,46.06,30734,4268,0,6546,7444,8473,478,0
04/02/2017_01:00,,6,1,4,2,2017,43.3,30481,4620,0,6911,7442,7748,494,0
04/02/2017_02:00,,6,2,4,2,2017,41.4,29460,4642,0,6989,7444,7010,491,0
04/02/2017_03:00,,6,3,4,2,2017,40.1,28601,4037,0,7058,7450,6760,489,0
04/02/2017_04:00,,6,4,4,2,2017,40.92,27509,3711,0,6383,7440,6713,488,0
04/02/2017_05:00,,6,5,4,2,2017,40.34,27603,4397,0,6713,7445,5796,509,0
04/02/2017_06:00,,6,6,4,2,2017,37.91,29466,4770,0,7137,7444,5578,565,0
04/02/2017_07:00,,6,7,4,2,2017,40,32209,6619,0,7261,7447,5190,702,0
04/02/2017_08:00,,6,8,4,2,2017,41.83,35377,9453,0,7409,7446,5316,726,207
04/02/2017_09:00,,6,9,4,2,2017,53,39103,12289,0,7423,7438,5073,1041,1030
04/02/2017_10:00,,6,10,4,2,2017,53.91,40505,12772,0,7525,7441,4751,1095,2190
04/02/2017_11:00,,6,11,4,2,2017,53.47,40633,12151,0,7504,7448,4998,850,3500
04/02/2017_12:00,,6,12,4,2,2017,53.26,40045,11383,0,7098,7451,5294,850,4010
04/02/2017_13:00,,6,13,4,2,2017,46.04,39247,11120,0,7331,7445,4751,780,3900
04/02/2017_14:00,,6,14,4,2,2017,44.51,38575,11224,0,7355,7445,4591,779,3180
04/02/2017_15:00,,6,15,4,2,2017,49.38,38152,12252,0,7238,7443,4483,843,1990
04/02/2017_16:00,,6,16,4,2,2017,61.53,38835,14286,0,7726,7442,4173,850,507
04/02/2017_17:00,,6,17,4,2,2017,92.6,43320,17531,0,8593,7441,4137,1264,0
04/02/2017_18:00,,6,18,4,2,2017,68.55,44745,18635,0,8665,7442,4070,1324,0
04/02/2017_19:00,,6,19,4,2,2017,57.02,43003,18141,0,8404,7442,4059,1241,0
04/02/2017_20:00,,6,20,4,2,2017,50.14,40189,16096,0,8406,7442,3804,831,0
04/02/2017_21:00,,6,21,4,2,2017,48.52,37422,14303,0,7935,7444,3325,698,0
04/02/2017_22:00,,6,22,4,2,2017,40.99,34420,12113,0,7089,7450,3240,660,0
04/02/2017_23:00,,6,23,4,2,2017,44.03,31651,9769,0,6943,7444,3218,570,0
05/02/2017_00:00,,0,0,5,2,2017,44.8,30454,8714,0,7175,7445,3173,566,0
05/02/2017_01:00,,0,1,5,2,2017,46.32,30406,8818,0,7363,7441,2889,525,0
05/02/2017_02:00,,0,2,5,2,2017,41.94,29075,8256,0,7387,7442,2583,477,0
05/02/2017_03:00,,0,3,5,2,2017,40.08,28373,8180,0,7396,7441,2383,491,0
05/02/2017_04:00,,0,4,5,2,2017,40.08,27542,7606,0,7510,7446,1928,473,0
05/02/2017_05:00,,0,5,5,2,2017,39.37,27400,7582,0,7443,7480,1772,536,0
05/02/2017_06:00,,0,6,5,2,2017,41.86,28422,8058,0,7569,7486,1664,568,0
05/02/2017_07:00,,0,7,5,2,2017,35.01,30280,10052,0,6832,7533,1509,746,0
05/02/2017_08:00,,0,8,5,2,2017,39,32305,11128,0,6562,7542,1475,778,181
05/02/2017_09:00,,0,9,5,2,2017,48.49,36220,13188,0,7588,7532,1478,1072,707
05/02/2017_10:00,,0,10,5,2,2017,49.07,39043,14604,0,8726,7530,1466,1079,1250
05/02/2017_11:00,,0,11,5,2,2017,56.03,40402,14456,0,9765,7587,1321,1147,1720
05/02/2017_12:00,,0,12,5,2,2017,53.95,41036,14737,0,10158,7595,1433,1048,1800
05/02/2017_13:00,,0,13,5,2,2017,47.9,40850,14761,0,10250,7589,1525,798,1770
05/02/2017_14:00,,0,14,5,2,2017,46.38,40194,14510,0,10150,7584,1548,749,1470
05/02/2017_15:00,,0,15,5,2,2017,47.32,40144,14629,0,10019,7575,1736,898,937
05/02/2017_16:00,,0,16,5,2,2017,60.76,41354,16300,0,10004,7550,1978,902,319
05/02/2017_17:00,,0,17,5,2,2017,94.95,45455,18407,0,10550,7608,2326,1182,0
05/02/2017_18:00,,0,18,5,2,2017,67.48,46164,19250,0,10720,7643,2085,1252,0
05/02/2017_19:00,,0,19,5,2,2017,58.82,44134,18805,0,10634,7613,2039,1251,0
05/02/2017_20:00,,0,20,5,2,2017,55,41894,17106,0,10280,7622,1982,1152,0
05/02/2017_21:00,,0,21,5,2,2017,41.16,38704,16173,0,8458,7642,1834,749,0
05/02/2017_22:00,,0,22,5,2,2017,35.65,35050,13638,0,7133,7642,1760,887,0
05/02/2017_23:00,,0,23,5,2,2017,39.78,31229,10151,0,7016,7636,1747,612,0
06/02/2017_00:00,,1,0,6,2,2017,42.57,30258,9768,0,6945,7424,1633,598,0
06/02/2017_01:00,,1,1,6,2,2017,41.79,30481,10460,0,7049,7437,1683,534,0
06/02/2017_02:00,,1,2,6,2,2017,37.49,29687,10009,0,6973,7465,1684,492,0
06/02/2017_03:00,,1,3,6,2,2017,34,29548,9827,0,6925,7519,1779,481,0
06/02/2017_04:00,,1,4,6,2,2017,33,28924,8990,0,6904,7548,1983,488,0
06/02/2017_05:00,,1,5,6,2,2017,37.55,29932,10361,0,7341,7607,1974,515,0
06/02/2017_06:00,,1,6,6,2,2017,47.82,34772,13336,0,8948,7653,2243,516,0
06/02/2017_07:00,,1,7,6,2,2017,46.39,42539,18612,0,10565,7665,2685,892,2
06/02/2017_08:00,,1,8,6,2,2017,56.29,45452,20242,0,10727,7654,3211,931,407
06/02/2017_09:00,,1,9,6,2,2017,55.21,47024,19963,0,10702,7654,3838,1173,1390
06/02/2017_10:00,,1,10,6,2,2017,51.39,47237,19703,0,10886,7666,4650,1024,2020
06/02/2017_11:00,,1,11,6,2,2017,50.2,47448,19210,0,10421,7689,5459,866,2690
06/02/2017_12:00,,1,12,6,2,2017,46.96,46796,18544,0,10461,7708,6112,833,2170
06/02/2017_13:00,,1,13,6,2,2017,43.54,46271,19190,0,9671,7718,6367,831,1700
06/02/2017_14:00,,1,14,6,2,2017,41.46,45923,19001,0,9581,7713,6973,816,933
06/02/2017_15:00,,1,15,6,2,2017,43.54,45798,18446,0,10196,7722,7436,861,430
06/02/2017_16:00,,1,16,6,2,2017,64.73,47396,18843,0,11023,7724,7745,844,117
06/02/2017_17:00,,1,17,6,2,2017,82.38,50406,19678,0,11262,7723,7889,1089,0
06/02/2017_18:00,,1,18,6,2,2017,66.89,50191,18968,0,11218,7786,8115,1147,0
06/02/2017_19:00,,1,19,6,2,2017,59.83,48791,17107,0,11171,7801,8311,915,0
06/02/2017_20:00,,1,20,6,2,2017,52.46,45968,15220,0,10892,7802,8313,870,0
06/02/2017_21:00,,1,21,6,2,2017,40.48,42427,12857,0,9768,7803,8020,838,0
06/02/2017_22:00,,1,22,6,2,2017,28.87,37411,9008,0,8798,7835,7667,646,0
06/02/2017_23:00,,1,23,6,2,2017,41.9,32877,6056,0,7945,7834,7234,555,0
07/02/2017_00:00,,2,0,7,2,2017,42.56,31471,5208,0,8182,7846,6838,543,0
07/02/2017_01:00,,2,1,7,2,2017,40.93,31405,5042,0,8239,7828,6561,491,0
07/02/2017_02:00,,2,2,7,2,2017,40.02,30234,4523,0,7985,7852,6301,513,0
07/02/2017_03:00,,2,3,7,2,2017,36.54,29965,4754,0,7883,7868,5918,471,0
07/02/2017_04:00,,2,4,7,2,2017,33.7,29096,4562,0,7515,7894,5539,468,0
07/02/2017_05:00,,2,5,7,2,2017,38.99,29890,4827,0,7532,7993,5156,525,0
07/02/2017_06:00,,2,6,7,2,2017,46.1,34614,8944,0,9338,8012,4837,528,0
07/02/2017_07:00,,2,7,7,2,2017,44.82,42327,16935,0,10441,8038,3993,772,0
07/02/2017_08:00,,2,8,7,2,2017,49.5,44593,19746,0,10630,8034,3167,799,309
07/02/2017_09:00,,2,9,7,2,2017,49.13,45938,20151,0,10620,8032,2609,919,1460
07/02/2017_10:00,,2,10,7,2,2017,47.85,46181,20249,0,10638,8047,2112,898,2710
07/02/2017_11:00,,2,11,7,2,2017,51.06,45999,20178,0,10294,8104,1744,832,3580
07/02/2017_12:00,,2,12,7,2,2017,45.99,45841,20171,0,10274,8127,1400,789,3640
07/02/2017_13:00,,2,13,7,2,2017,51.43,45247,20321,0,9721,8127,1316,657,3360
07/02/2017_14:00,,2,14,7,2,2017,54.5,44233,20409,0,9980,7787,1326,669,2300
07/02/2017_15:00,,2,15,7,2,2017,55.31,43888,20150,0,10362,7737,1365,792,1440
07/02/2017_16:00,,2,16,7,2,2017,74.69,44952,21320,0,10465,7784,1481,853,548
07/02/2017_17:00,,2,17,7,2,2017,89.2,47909,21865,0,10777,7784,1710,1204,0
07/02/2017_18:00,,2,18,7,2,2017,74.59,49524,23336,0,10742,7788,1596,1295,0
07/02/2017_19:00,,2,19,7,2,2017,55.11,48122,22303,0,10707,7803,1863,1113,0
07/02/2017_20:00,,2,20,7,2,2017,58.39,46011,20916,0,10290,7823,2310,1098,0
07/02/2017_21:00,,2,21,7,2,2017,47.06,41909,18396,0,9618,7849,2546,778,0
07/02/2017_22:00,,2,22,7,2,2017,40.81,37293,15605,0,8696,7854,2440,722,0
07/02/2017_23:00,,2,23,7,2,2017,45.06,33018,11936,0,7223,7863,2176,579,0
08/02/2017_00:00,,3,0,8,2,2017,49.91,31307,10590,0,7181,7869,2081,518,0
08/02/2017_01:00,,3,1,8,2,2017,45.04,31548,10648,0,7276,7867,1967,483,0
08/02/2017_02:00,,3,2,8,2,2017,41.96,30485,10147,0,7293,7866,1870,464,0
08/02/2017_03:00,,3,3,8,2,2017,39.91,30087,9958,0,7108,7861,2079,418,0
08/02/2017_04:00,,3,4,8,2,2017,35.91,29482,9424,0,6810,7864,2174,413,0
08/02/2017_05:00,,3,5,8,2,2017,40.02,30338,10569,0,7493,7878,2191,431,0
08/02/2017_06:00,,3,6,8,2,2017,45.93,34725,13337,0,8648,7915,2265,493,0
08/02/2017_07:00,,3,7,8,2,2017,49.4,42319,20063,0,9316,8057,2356,948,0
08/02/2017_08:00,,3,8,8,2,2017,48.82,44885,21785,0,10116,8128,2594,775,196
08/02/2017_09:00,,3,9,8,2,2017,52.96,45985,22470,0,9473,8189,3010,864,629
08/02/2017_10:00,,3,10,8,2,2017,55,46268,22415,0,9350,8290,3288,831,1040
08/02/2017_11:00,,3,11,8,2,2017,51.32,46457,22593,0,9560,8347,3326,717,1150
08/02/2017_12:00,,3,12,8,2,2017,46.85,46708,22686,0,9852,8347,3711,710,1090
08/02/2017_13:00,,3,13,8,2,2017,48.56,46535,22664,0,10022,8362,3747,642,973
08/02/2017_14:00,,3,14,8,2,2017,53.04,46469,22705,0,10061,8357,3590,645,774
08/02/2017_15:00,,3,15,8,2,2017,50,46233,22439,0,10064,8359,3758,676,554
08/02/2017_16:00,,3,16,8,2,2017,59.82,47493,22532,0,10478,8376,3980,709,218
08/02/2017_17:00,,3,17,8,2,2017,81.51,49959,22311,0,10667,8385,3915,971,0
08/02/2017_18:00,,3,18,8,2,2017,71.25,50347,22152,0,10447,8390,3988,980,0
08/02/2017_19:00,,3,19,8,2,2017,59.09,49631,22022,0,10399,8388,3890,1119,0
08/02/2017_20:00,,3,20,8,2,2017,53.27,47079,20069,0,9842,8396,4228,913,0
08/02/2017_21:00,,3,21,8,2,2017,49.82,42972,17987,0,8866,8409,4637,557,0
08/02/2017_22:00,,3,22,8,2,2017,41.91,38475,15230,0,7064,8416,4574,510,0
08/02/2017_23:00,,3,23,8,2,2017,43.96,34088,12118,0,6162,8417,4459,381,0
09/02/2017_00:00,,4,0,9,2,2017,46.95,32361,10372,0,5694,8419,4519,379,0
09/02/2017_01:00,,4,1,9,2,2017,45,32562,10317,0,6158,8433,4356,357,0
09/02/2017_02:00,,4,2,9,2,2017,43.54,31616,10236,0,5426,8449,4196,350,0
09/02/2017_03:00,,4,3,9,2,2017,41.07,31417,9964,0,5210,8450,4378,310,0
09/02/2017_04:00,,4,4,9,2,2017,40.93,30573,9479,0,5203,8460,4258,308,0
09/02/2017_05:00,,4,5,9,2,2017,44.9,31254,10706,0,5774,8465,4558,335,0
09/02/2017_06:00,,4,6,9,2,2017,49.82,35770,13627,0,7133,8475,4779,330,0
09/02/2017_07:00,,4,7,9,2,2017,46.95,43537,20286,0,8190,8473,4809,622,0
09/02/2017_08:00,,4,8,9,2,2017,48,46213,22544,0,8401,8471,4881,640,80
09/02/2017_09:00,,4,9,9,2,2017,49.49,47461,22905,0,8658,8477,4977,757,318
09/02/2017_10:00,,4,10,9,2,2017,53.66,47896,22947,0,8789,8482,4697,762,585
09/02/2017_11:00,,4,11,9,2,2017,60,48133,22995,0,8876,8438,4569,667,754
09/02/2017_12:00,,4,12,9,2,2017,62.25,48460,23014,0,9132,8438,4508,639,829
09/02/2017_13:00,,4,13,9,2,2017,57.63,48219,23359,0,9367,8462,4185,541,774
09/02/2017_14:00,,4,14,9,2,2017,50,48252,23623,0,9482,8468,3898,503,608
09/02/2017_15:00,,4,15,9,2,2017,45,47772,23735,0,9832,8491,3850,611,417
09/02/2017_16:00,,4,16,9,2,2017,67.78,48853,23738,0,9644,8493,3856,767,167
09/02/2017_17:00,,4,17,9,2,2017,79.99,50634,23811,0,9494,8475,4022,960,0
09/02/2017_18:00,,4,18,9,2,2017,68.89,50541,23652,0,9199,8491,3975,983,0
09/02/2017_19:00,,4,19,9,2,2017,60,50447,23238,0,9659,8514,4275,982,0
09/02/2017_20:00,,4,20,9,2,2017,52.02,47977,22371,0,8672,8528,4144,867,0
09/02/2017_21:00,,4,21,9,2,2017,49.95,43796,20408,0,8134,8518,3914,479,0
09/02/2017_22:00,,4,22,9,2,2017,43.6,39055,17036,0,6767,8523,3729,443,0
09/02/2017_23:00,,4,23,9,2,2017,50.07,34586,13338,0,6538,8525,3296,380,0
10/02/2017_00:00,,5,0,10,2,2017,45.37,33226,12470,0,6562,8528,3027,376,0
10/02/2017_01:00,,5,1,10,2,2017,44.46,33218,13053,0,6565,8531,2800,313,0
10/02/2017_02:00,,5,2,10,2,2017,42.9,32158,12180,0,5920,8539,2623,308,0
10/02/2017_03:00,,5,3,10,2,2017,38.7,32029,11986,0,5594,8560,2555,270,0
10/02/2017_04:00,,5,4,10,2,2017,41.04,31238,11851,0,5707,8552,2703,265,0
10/02/2017_05:00,,5,5,10,2,2017,44.09,31936,12152,0,6324,8560,2892,328,0
10/02/2017_06:00,,5,6,10,2,2017,47.17,36139,14182,0,7185,8556,2862,326,0
10/02/2017_07:00,,5,7,10,2,2017,56.24,43742,20866,0,8364,8554,2720,583,0
10/02/2017_08:00,,5,8,10,2,2017,57.97,46742,22222,0,9423,8551,2837,635,59
10/02/2017_09:00,,5,9,10,2,2017,56.98,48437,22373,0,9603,8550,2960,934,318
10/02/2017_10:00,,5,10,10,2,2017,54.49,48906,22763,0,9600,8561,2691,989,643
10/02/2017_11:00,,5,11,10,2,2017,54.03,48976,22972,0,9798,8557,2389,971,932
10/02/2017_12:00,,5,12,10,2,2017,55,49107,23042,0,9824,8563,2549,914,1190
10/02/2017_13:00,,5,13,10,2,2017,47.57,48435,23053,0,9737,8569,2847,702,1290
10/02/2017_14:00,,5,14,10,2,2017,48.09,47932,23278,0,9245,8567,2971,508,1090
10/02/2017_15:00,,5,15,10,2,2017,47.07,47043,22864,0,9114,8562,2978,545,832
10/02/2017_16:00,,5,16,10,2,2017,63.58,47438,22066,0,9464,8491,3020,591,311
10/02/2017_17:00,,5,17,10,2,2017,89.51,48748,22181,0,9605,8488,3376,807,34
10/02/2017_18:00,,5,18,10,2,2017,81.22,49802,22487,0,9834,8498,3437,911,0
10/02/2017_19:00,,5,19,10,2,2017,65.49,48820,22296,0,10193,8507,3449,825,0
10/02/2017_20:00,,5,20,10,2,2017,58.04,45901,21266,0,9635,8505,3381,753,0
10/02/2017_21:00,,5,21,10,2,2017,52.06,42169,20408,0,7816,8265,3273,481,0
10/02/2017_22:00,,5,22,10,2,2017,47.99,37896,17898,0,5655,8222,3520,431,0
10/02/2017_23:00,,5,23,10,2,2017,47.95,34231,15554,0,4576,8217,3572,294,0
11/02/2017_00:00,,6,0,11,2,2017,49.91,32539,12712,0,4442,8219,3920,287,0
11/02/2017_01:00,,6,1,11,2,2017,48.42,32535,12754,0,4378,8223,4177,229,0
11/02/2017_02:00,,6,2,11,2,2017,44,31260,12117,0,3935,8231,4583,226,0
11/02/2017_03:00,,6,3,11,2,2017,42.5,30580,11039,0,3938,8233,4866,187,0
11/02/2017_04:00,,6,4,11,2,2017,41.33,29465,9104,0,3738,8360,5198,185,0
11/02/2017_05:00,,6,5,11,2,2017,41.9,29624,10381,0,3828,8362,5283,184,0
11/02/2017_06:00,,6,6,11,2,2017,43.03,31460,11210,0,4331,8353,5277,226,0
11/02/2017_07:00,,6,7,11,2,2017,43.4,34202,13090,0,4520,8357,5791,418,0
11/02/2017_08:00,,6,8,11,2,2017,47.24,37693,15511,0,4956,8356,5619,467,60
11/02/2017_09:00,,6,9,11,2,2017,53.82,42100,16803,0,5958,8357,5833,640,204
11/02/2017_10:00,,6,10,11,2,2017,56.52,44002,17164,0,7059,8363,6262,613,358
11/02/2017_11:00,,6,11,11,2,2017,54.1,44919,17308,0,7290,8241,6857,506,500
11/02/2017_12:00,,6,12,11,2,2017,52.1,45136,17280,0,7341,8263,6863,452,559
11/02/2017_13:00,,6,13,11,2,2017,50.22,44326,17111,0,7050,8298,7126,405,555
11/02/2017_14:00,,6,14,11,2,2017,49.7,43685,16787,0,6270,8293,7488,402,459
11/02/2017_15:00,,6,15,11,2,2017,46.92,43258,17149,0,6203,8439,7504,465,313
11/02/2017_16:00,,6,16,11,2,2017,62.02,43734,17670,0,6149,8457,7380,522,122
11/02/2017_17:00,,6,17,11,2,2017,94.96,46370,18991,0,6516,8425,7328,702,0
11/02/2017_18:00,,6,18,11,2,2017,74.95,46803,19087,0,6577,8235,7543,709,0
11/02/2017_19:00,,6,19,11,2,2017,65.4,44938,18680,0,6039,8222,7534,665,0
11/02/2017_20:00,,6,20,11,2,2017,59.35,41999,16464,0,4958,8252,7537,582,0
11/02/2017_21:00,,6,21,11,2,2017,48.43,39019,13851,0,4517,8363,7262,451,0
11/02/2017_22:00,,6,22,11,2,2017,44.04,35667,11716,0,4181,8463,7417,346,0
11/02/2017_23:00,,6,23,11,2,2017,55.21,32744,8470,0,3638,8464,7625,217,0
12/02/2017_00:00,,0,0,12,2,2017,49.92,31554,7474,0,3640,8251,7462,193,0
12/02/2017_01:00,,0,1,12,2,2017,46.88,31392,8265,0,3403,8237,7294,162,0
12/02/2017_02:00,,0,2,12,2,2017,43.91,29863,7066,0,3573,8333,7550,162,0
12/02/2017_03:00,,0,3,12,2,2017,42.55,29223,6667,0,3491,8339,7595,121,0
12/02/2017_04:00,,0,4,12,2,2017,40.99,28057,6004,0,3403,8374,7549,121,0
12/02/2017_05:00,,0,5,12,2,2017,38,27654,5622,0,3117,8462,7616,121,0
12/02/2017_06:00,,0,6,12,2,2017,42.1,28741,6161,0,3156,8380,7730,161,0
12/02/2017_07:00,,0,7,12,2,2017,38.99,30293,7845,0,3011,8226,7579,244,0
12/02/2017_08:00,,0,8,12,2,2017,40.99,32082,8346,0,2966,8233,7587,259,68
12/02/2017_09:00,,0,9,12,2,2017,49.07,36900,11448,0,3762,8256,7816,338,239
12/02/2017_10:00,,0,10,12,2,2017,50,40459,13867,0,4107,8345,8084,341,386
12/02/2017_11:00,,0,11,12,2,2017,56.72,42244,14804,0,4284,8446,8379,462,621
12/02/2017_12:00,,0,12,12,2,2017,55.98,43462,15082,0,4544,8468,8831,540,703
12/02/2017_13:00,,0,13,12,2,2017,52.2,43384,15322,0,4548,8303,9252,398,613
12/02/2017_14:00,,0,14,12,2,2017,51.29,43012,15357,0,4620,8236,9077,282,489
12/02/2017_15:00,,0,15,12,2,2017,48.61,43164,15427,0,4626,8342,9266,318,328
12/02/2017_16:00,,0,16,12,2,2017,62.21,43883,15528,0,4971,8364,9569,454,153
12/02/2017_17:00,,0,17,12,2,2017,91.36,46420,17041,0,5603,8458,9785,751,0
12/02/2017_18:00,,0,18,12,2,2017,73.47,46791,16419,0,5651,8463,9947,797,0
12/02/2017_19:00,,0,19,12,2,2017,65.24,44311,15369,0,5316,8462,10076,585,0
12/02/2017_20:00,,0,20,12,2,2017,62.9,41992,14005,0,4810,8466,9976,425,0
12/02/2017_21:00,,0,21,12,2,2017,51.99,38933,11505,0,4256,8304,9983,285,0
12/02/2017_22:00,,0,22,12,2,2017,44.05,34979,9327,0,3722,8224,9604,273,0
12/02/2017_23:00,,0,23,12,2,2017,47.01,31346,5842,0,2979,8254,9396,213,0
13/02/2017_00:00,,1,0,13,2,2017,45.6,30363,5368,0,2739,8351,9647,174,0
