date,price_sterling,,
09/01/2018,55.66,10,
09/01/2018,54.8,11,
09/01/2018,54.51,12,
09/01/2018,50.74,13,
09/01/2018,49.6,14,
09/01/2018,50.11,15,
09/01/2018,69.98,16,
09/01/2018,82.99,17,
09/01/2018,66.02,18,
09/01/2018,56.1,19,
09/01/2018,51,20,
09/01/2018,54.1,21,
09/01/2018,44.15,22,
10/01/2018,44.56,23,
10/01/2018,46.45,0,
10/01/2018,45.99,1,
10/01/2018,44.6,2,
10/01/2018,44.42,3,
10/01/2018,44.48,4,
10/01/2018,45.81,5,
10/01/2018,57.55,6,
10/01/2018,53.46,7,
10/01/2018,61.5,8,
10/01/2018,58.82,9,
10/01/2018,55,10,
10/01/2018,52,11,
10/01/2018,51,12,
10/01/2018,50,13,
10/01/2018,50.24,14,
10/01/2018,56.44,15,
10/01/2018,75.94,16,
10/01/2018,101.79,17,
10/01/2018,87.94,18,
10/01/2018,72.45,19,
10/01/2018,64.66,20,
10/01/2018,53.9,21,
10/01/2018,48,22,
11/01/2018,47.93,23,
11/01/2018,45.51,0,
11/01/2018,44.16,1,
11/01/2018,44.01,2,
11/01/2018,43.33,3,
11/01/2018,43.03,4,
11/01/2018,43.17,5,
11/01/2018,48.43,6,
11/01/2018,52.55,7,
11/01/2018,54.14,8,
11/01/2018,60.1,9,
11/01/2018,60.08,10,
11/01/2018,53.99,11,
11/01/2018,55.4,12,
11/01/2018,53.1,13,
11/01/2018,51.85,14,
11/01/2018,61,15,
11/01/2018,83.89,16,
11/01/2018,100,17,
11/01/2018,81,18,
11/01/2018,60.1,19,
11/01/2018,60.2,20,
11/01/2018,56.51,21,
11/01/2018,46.91,22,
12/01/2018,48.89,23,
12/01/2018,45.99,0,
12/01/2018,45.89,1,
12/01/2018,45.23,2,
12/01/2018,44.05,3,
12/01/2018,42.57,4,
12/01/2018,43.4,5,
12/01/2018,48.43,6,
12/01/2018,53.06,7,
12/01/2018,60.2,8,
12/01/2018,61.94,9,
12/01/2018,58.5,10,
12/01/2018,54.5,11,
12/01/2018,52.11,12,
12/01/2018,49.12,13,
12/01/2018,47,14,
12/01/2018,48.11,15,
12/01/2018,57.51,16,
12/01/2018,79.89,17,
12/01/2018,60.43,18,
12/01/2018,54.92,19,
12/01/2018,51.52,20,
12/01/2018,44.34,21,
12/01/2018,41.39,22,
13/01/2018,51,23,
13/01/2018,48.86,0,
13/01/2018,56.01,1,
13/01/2018,45.9,2,
13/01/2018,42.64,3,
13/01/2018,39.82,4,
13/01/2018,37,5,
13/01/2018,40.54,6,
13/01/2018,42.32,7,
13/01/2018,45,8,
13/01/2018,53.45,9,
13/01/2018,52.1,10,
13/01/2018,55.36,11,
13/01/2018,58,12,
13/01/2018,54.55,13,
13/01/2018,46.1,14,
13/01/2018,50,15,
13/01/2018,56,16,
13/01/2018,79.92,17,
13/01/2018,68.89,18,
13/01/2018,49.42,19,
13/01/2018,56.9,20,
13/01/2018,52.02,21,
13/01/2018,48.55,22,
14/01/2018,54,23,
14/01/2018,48.12,0,
14/01/2018,49.95,1,
14/01/2018,48,2,
14/01/2018,44.92,3,
14/01/2018,41.06,4,
14/01/2018,38.02,5,
14/01/2018,39.95,6,
14/01/2018,40,7,
14/01/2018,48,8,
14/01/2018,47,9,
14/01/2018,55.5,10,
14/01/2018,54.14,11,
14/01/2018,58,12,
14/01/2018,49.76,13,
14/01/2018,45,14,
14/01/2018,45,15,
14/01/2018,60.5,16,
14/01/2018,83,17,
14/01/2018,57.03,18,
14/01/2018,50,19,
14/01/2018,52.53,20,
14/01/2018,46.62,21,
14/01/2018,40,22,
15/01/2018,43.39,23,
15/01/2018,44.95,0,
15/01/2018,44.99,1,
15/01/2018,40.56,2,
15/01/2018,40.08,3,
15/01/2018,36.23,4,
15/01/2018,41.5,5,
15/01/2018,51,6,
15/01/2018,48.11,7,
15/01/2018,46.83,8,
15/01/2018,57,9,
15/01/2018,57,10,
15/01/2018,53.5,11,
15/01/2018,53,12,
15/01/2018,46.8,13,
15/01/2018,45,14,
15/01/2018,45.58,15,
15/01/2018,53,16,
15/01/2018,73.16,17,
15/01/2018,64.18,18,
15/01/2018,60,19,
15/01/2018,50.7,20,
15/01/2018,50.01,21,
15/01/2018,41.5,22,
16/01/2018,47.97,23,
16/01/2018,47.93,0,
16/01/2018,47.56,1,
16/01/2018,42.63,2,
16/01/2018,39.01,3,
16/01/2018,31.29,4,
16/01/2018,39.02,5,
16/01/2018,52.91,6,
16/01/2018,46,7,
16/01/2018,50.99,8,
16/01/2018,56.08,9,
16/01/2018,50,10,
16/01/2018,47.33,11,
16/01/2018,47.44,12,
16/01/2018,47.44,13,
16/01/2018,49,14,
16/01/2018,52.52,15,
16/01/2018,56.97,16,
16/01/2018,73,17,
16/01/2018,65.5,18,
16/01/2018,60.15,19,
16/01/2018,51.55,20,
16/01/2018,52.55,21,
16/01/2018,40,22,
17/01/2018,46.41,23,
17/01/2018,47.44,0,
17/01/2018,48,1,
17/01/2018,42.43,2,
17/01/2018,38.59,3,
17/01/2018,34.6,4,
17/01/2018,38.54,5,
17/01/2018,47.49,6,
17/01/2018,46.21,7,
17/01/2018,50,8,
17/01/2018,50,9,
17/01/2018,48.76,10,
17/01/2018,44.48,11,
17/01/2018,46,12,
17/01/2018,46,13,
17/01/2018,46,14,
17/01/2018,48.03,15,
17/01/2018,50.73,16,
17/01/2018,75.12,17,
17/01/2018,70,18,
17/01/2018,59.93,19,
17/01/2018,58.61,20,
17/01/2018,51.99,21,
17/01/2018,43.73,22,
18/01/2018,44.88,23,
18/01/2018,50,0,
18/01/2018,47.04,1,
18/01/2018,42.07,2,
18/01/2018,41.67,3,
18/01/2018,39,4,
18/01/2018,39.02,5,
18/01/2018,48,6,
18/01/2018,43.28,7,
18/01/2018,51,8,
18/01/2018,53.85,9,
18/01/2018,57,10,
18/01/2018,52,11,
18/01/2018,48.33,12,
18/01/2018,46,13,
18/01/2018,45.8,14,
18/01/2018,48.04,15,
18/01/2018,59.8,16,
18/01/2018,84.96,17,
18/01/2018,67.35,18,
18/01/2018,56.42,19,
18/01/2018,50,20,
18/01/2018,47.87,21,
18/01/2018,40,22,
19/01/2018,39.65,23,
19/01/2018,43.9,0,
19/01/2018,39.15,1,
19/01/2018,37.55,2,
19/01/2018,37.99,3,
19/01/2018,37,4,
19/01/2018,38,5,
19/01/2018,47.96,6,
19/01/2018,56.24,7,
19/01/2018,57.43,8,
19/01/2018,58.56,9,
19/01/2018,50,10,
19/01/2018,44.7,11,
19/01/2018,41.38,12,
19/01/2018,41.1,13,
19/01/2018,41.22,14,
19/01/2018,42.73,15,
19/01/2018,50.3,16,
19/01/2018,75.1,17,
19/01/2018,67.94,18,
19/01/2018,55.5,19,
19/01/2018,44,20,
19/01/2018,42.23,21,
19/01/2018,38.97,22,
20/01/2018,40.67,23,
20/01/2018,43.91,0,
20/01/2018,43.67,1,
20/01/2018,41.09,2,
20/01/2018,40.96,3,
20/01/2018,43.67,4,
20/01/2018,43.52,5,
20/01/2018,46.9,6,
20/01/2018,41.09,7,
20/01/2018,46.83,8,
20/01/2018,62.73,9,
20/01/2018,63.73,10,
20/01/2018,59.55,11,
20/01/2018,59.95,12,
20/01/2018,47.6,13,
20/01/2018,44.06,14,
20/01/2018,45.7,15,
20/01/2018,56.5,16,
20/01/2018,100,17,
20/01/2018,84.8,18,
20/01/2018,59.11,19,
20/01/2018,53.1,20,
20/01/2018,49.02,21,
20/01/2018,46.15,22,
21/01/2018,47.56,23,
21/01/2018,50.91,0,
21/01/2018,49.91,1,
21/01/2018,45.92,2,
21/01/2018,43.5,3,
21/01/2018,42.32,4,
21/01/2018,40.75,5,
21/01/2018,40.91,6,
21/01/2018,41.03,7,
21/01/2018,42.22,8,
21/01/2018,44.42,9,
21/01/2018,58.87,10,
21/01/2018,53.22,11,
21/01/2018,62,12,
21/01/2018,48,13,
21/01/2018,42.95,14,
21/01/2018,43.07,15,
21/01/2018,51.56,16,
21/01/2018,82.01,17,
21/01/2018,64.22,18,
21/01/2018,45.54,19,
21/01/2018,42.89,20,
21/01/2018,40.57,21,
21/01/2018,38.7,22,
22/01/2018,42,23,
22/01/2018,41.02,0,
22/01/2018,40.91,1,
22/01/2018,40.62,2,
22/01/2018,40.58,3,
22/01/2018,40.52,4,
22/01/2018,40.8,5,
22/01/2018,48,6,
22/01/2018,46.84,7,
22/01/2018,55.22,8,
22/01/2018,60.91,9,
22/01/2018,52.8,10,
22/01/2018,45,11,
22/01/2018,44.9,12,
22/01/2018,43.5,13,
22/01/2018,42.05,14,
22/01/2018,42.46,15,
22/01/2018,54.6,16,
22/01/2018,81.5,17,
22/01/2018,65.03,18,
22/01/2018,58.44,19,
22/01/2018,50,20,
22/01/2018,51.64,21,
22/01/2018,40.41,22,
23/01/2018,46.95,23,
23/01/2018,46.21,0,
23/01/2018,46.72,1,
23/01/2018,42.22,2,
23/01/2018,40.38,3,
23/01/2018,32.68,4,
23/01/2018,36.36,5,
23/01/2018,44.48,6,
23/01/2018,47.93,7,
23/01/2018,46.16,8,
23/01/2018,54,9,
23/01/2018,51.68,10,
23/01/2018,44.88,11,
23/01/2018,44.88,12,
23/01/2018,44.88,13,
23/01/2018,43.59,14,
23/01/2018,45,15,
23/01/2018,52,16,
23/01/2018,68.17,17,
23/01/2018,58.88,18,
23/01/2018,51.36,19,
23/01/2018,48.88,20,
23/01/2018,46.53,21,
23/01/2018,40,22,
24/01/2018,50.12,23,
24/01/2018,45.55,0,
24/01/2018,43.94,1,
24/01/2018,38.8,2,
24/01/2018,36.96,3,
24/01/2018,29.99,4,
24/01/2018,37.92,5,
24/01/2018,50,6,
24/01/2018,43.99,7,
24/01/2018,46.15,8,
24/01/2018,54,9,
24/01/2018,50,10,
24/01/2018,48.66,11,
24/01/2018,50,12,
24/01/2018,46.66,13,
24/01/2018,41.58,14,
24/01/2018,42.44,15,
24/01/2018,51.6,16,
24/01/2018,74,17,
24/01/2018,63.92,18,
24/01/2018,56.68,19,
24/01/2018,45.21,20,
24/01/2018,45.44,21,
24/01/2018,39.9,22,
25/01/2018,40.58,23,
25/01/2018,44.97,0,
25/01/2018,44.93,1,
25/01/2018,41.94,2,
25/01/2018,40.55,3,
25/01/2018,40,4,
25/01/2018,44.94,5,
25/01/2018,47.55,6,
25/01/2018,42.41,7,
25/01/2018,49.6,8,
25/01/2018,53.2,9,
25/01/2018,48.44,10,
25/01/2018,41.07,11,
25/01/2018,41.05,12,
25/01/2018,46.55,13,
25/01/2018,56,14,
25/01/2018,41.05,15,
25/01/2018,50.21,16,
25/01/2018,80.82,17,
25/01/2018,73.17,18,
25/01/2018,60.94,19,
25/01/2018,55,20,
25/01/2018,49,21,
25/01/2018,41.09,22,
26/01/2018,42.68,23,
26/01/2018,42.69,0,
26/01/2018,42.69,1,
26/01/2018,39.77,2,
26/01/2018,39.89,3,
26/01/2018,39.95,4,
26/01/2018,40.76,5,
26/01/2018,46,6,
26/01/2018,52.53,7,
26/01/2018,62,8,
26/01/2018,62.62,9,
26/01/2018,61.55,10,
26/01/2018,48.39,11,
26/01/2018,46.44,12,
26/01/2018,45.01,13,
26/01/2018,44.55,14,
26/01/2018,44.25,15,
26/01/2018,63,16,
26/01/2018,89.25,17,
26/01/2018,71.95,18,
26/01/2018,66.96,19,
26/01/2018,49.4,20,
26/01/2018,47.79,21,
26/01/2018,41,22,
27/01/2018,52.09,23,
27/01/2018,47.91,0,
27/01/2018,57,1,
27/01/2018,43.92,2,
27/01/2018,42.93,3,
27/01/2018,37.21,4,
27/01/2018,29.32,5,
27/01/2018,31.26,6,
27/01/2018,39.19,7,
27/01/2018,42.56,8,
27/01/2018,56.2,9,
27/01/2018,56,10,
27/01/2018,49.09,11,
27/01/2018,43.96,12,
27/01/2018,42.03,13,
27/01/2018,39.58,14,
27/01/2018,41.39,15,
27/01/2018,45.2,16,
27/01/2018,75,17,
27/01/2018,69.94,18,
27/01/2018,50.66,19,
27/01/2018,41.84,20,
27/01/2018,40.7,21,
27/01/2018,38.91,22,
28/01/2018,44.8,23,
28/01/2018,45.91,0,
28/01/2018,44.98,1,
28/01/2018,47.93,2,
28/01/2018,40.99,3,
28/01/2018,39.6,4,
28/01/2018,37.8,5,
28/01/2018,41.94,6,
28/01/2018,30.6,7,
28/01/2018,29.51,8,
28/01/2018,44.13,9,
28/01/2018,46.52,10,
28/01/2018,46.3,11,
28/01/2018,52.9,12,
28/01/2018,50,13,
28/01/2018,45.03,14,
28/01/2018,46.6,15,
28/01/2018,50.06,16,
28/01/2018,75.92,17,
28/01/2018,67.9,18,
28/01/2018,47.04,19,
28/01/2018,47,20,
28/01/2018,41.32,21,
28/01/2018,32.28,22,
29/01/2018,25.88,23,
29/01/2018,25.57,0,
29/01/2018,29,1,
29/01/2018,16.47,2,
29/01/2018,10.1,3,
29/01/2018,17.6,4,
29/01/2018,30.29,5,
29/01/2018,48.94,6,
29/01/2018,44.15,7,
29/01/2018,46.27,8,
29/01/2018,51.9,9,
29/01/2018,46.1,10,
29/01/2018,44.8,11,
29/01/2018,44.56,12,
29/01/2018,43.09,13,
29/01/2018,38.49,14,
29/01/2018,33.44,15,
29/01/2018,43.53,16,
29/01/2018,68.94,17,
29/01/2018,62,18,
29/01/2018,58.1,19,
29/01/2018,54,20,
29/01/2018,50.5,21,
29/01/2018,37.57,22,
30/01/2018,40.99,23,
30/01/2018,43.19,0,
30/01/2018,41.91,1,
30/01/2018,40.22,2,
30/01/2018,40.04,3,
30/01/2018,39.92,4,
30/01/2018,40.04,5,
30/01/2018,49.92,6,
30/01/2018,49.7,7,
30/01/2018,60,8,
30/01/2018,60.1,9,
30/01/2018,48.98,10,
30/01/2018,43,11,
30/01/2018,42,12,
30/01/2018,40.65,13,
30/01/2018,40.72,14,
30/01/2018,41.36,15,
30/01/2018,47.53,16,
30/01/2018,71.45,17,
30/01/2018,55,18,
30/01/2018,53.76,19,
30/01/2018,47.44,20,
30/01/2018,40.35,21,
30/01/2018,36.45,22,
31/01/2018,48,23,
31/01/2018,44.95,0,
31/01/2018,43.01,1,
31/01/2018,39.99,2,
31/01/2018,36.57,3,
31/01/2018,29.44,4,
31/01/2018,37.99,5,
31/01/2018,45.91,6,
31/01/2018,48.79,7,
31/01/2018,54.61,8,
31/01/2018,57,9,
31/01/2018,45.1,10,
31/01/2018,41.38,11,
31/01/2018,41.19,12,
31/01/2018,40.86,13,
31/01/2018,40.61,14,
31/01/2018,41.23,15,
31/01/2018,49,16,
31/01/2018,75,17,
31/01/2018,66,18,
31/01/2018,55.01,19,
31/01/2018,50.01,20,
31/01/2018,44.44,21,
31/01/2018,37.97,22,
01/02/2018,45.07,23,
01/02/2018,44.96,0,
01/02/2018,48.5,1,
01/02/2018,41.95,2,
01/02/2018,37.03,3,
01/02/2018,27.05,4,
01/02/2018,37.08,5,
01/02/2018,45.52,6,
01/02/2018,46.59,7,
01/02/2018,57.53,8,
01/02/2018,50,9,
01/02/2018,43.45,10,
01/02/2018,41.33,11,
01/02/2018,41.33,12,
01/02/2018,42.24,13,
01/02/2018,43.45,14,
01/02/2018,43.45,15,
01/02/2018,49.62,16,
01/02/2018,76.01,17,
01/02/2018,69.02,18,
01/02/2018,57,19,
01/02/2018,47.18,20,
01/02/2018,47.44,21,
01/02/2018,39.4,22,
02/02/2018,40,23,
02/02/2018,41.52,0,
02/02/2018,41.38,1,
02/02/2018,40.9,2,
02/02/2018,35.37,3,
02/02/2018,36,4,
02/02/2018,41.95,5,
02/02/2018,50.7,6,
02/02/2018,45,7,
02/02/2018,53.1,8,
02/02/2018,53.21,9,
02/02/2018,44.1,10,
02/02/2018,42.62,11,
02/02/2018,43.01,12,
02/02/2018,46.37,13,
02/02/2018,48.69,14,
02/02/2018,43,15,
02/02/2018,53.36,16,
02/02/2018,87.5,17,
02/02/2018,76,18,
02/02/2018,60.01,19,
02/02/2018,49.14,20,
02/02/2018,50.59,21,
02/02/2018,43,22,
03/02/2018,47.92,23,
03/02/2018,46.94,0,
03/02/2018,45.94,1,
03/02/2018,43.9,2,
03/02/2018,42.92,3,
03/02/2018,42.01,4,
03/02/2018,42.49,5,
03/02/2018,44.53,6,
03/02/2018,41.83,7,
03/02/2018,51.95,8,
03/02/2018,56,9,
03/02/2018,60.24,10,
03/02/2018,61.04,11,
03/02/2018,50.6,12,
03/02/2018,44.55,13,
03/02/2018,42.08,14,
03/02/2018,42,15,
03/02/2018,46.96,16,
03/02/2018,82.44,17,
03/02/2018,70.1,18,
03/02/2018,53.22,19,
03/02/2018,45.78,20,
03/02/2018,49,21,
03/02/2018,41.57,22,
04/02/2018,43.03,23,
04/02/2018,43.79,0,
04/02/2018,43.78,1,
04/02/2018,41.95,2,
04/02/2018,41.92,3,
04/02/2018,41.15,4,
04/02/2018,41.23,5,
04/02/2018,41.57,6,
04/02/2018,39.29,7,
04/02/2018,41.34,8,
04/02/2018,41.94,9,
04/02/2018,44.99,10,
04/02/2018,49.03,11,
04/02/2018,47.75,12,
04/02/2018,51.23,13,
04/02/2018,45.53,14,
04/02/2018,45,15,
04/02/2018,53.3,16,
04/02/2018,75.01,17,
04/02/2018,68.96,18,
04/02/2018,55.1,19,
04/02/2018,50.07,20,
04/02/2018,51.54,21,
04/02/2018,41.86,22,
05/02/2018,41.93,23,
05/02/2018,42.53,0,
05/02/2018,42.59,1,
05/02/2018,42.57,2,
05/02/2018,42.56,3,
05/02/2018,42.51,4,
05/02/2018,42.05,5,
05/02/2018,49.51,6,
05/02/2018,52.78,7,
05/02/2018,58,8,
05/02/2018,59.96,9,
05/02/2018,47.16,10,
05/02/2018,44.56,11,
05/02/2018,44.04,12,
05/02/2018,44.06,13,
05/02/2018,44.33,14,
05/02/2018,54.97,15,
05/02/2018,55.3,16,
05/02/2018,76.31,17,
05/02/2018,75.04,18,
05/02/2018,58,19,
05/02/2018,52.03,20,
05/02/2018,52.03,21,
05/02/2018,43.06,22,
06/02/2018,43.63,23,
06/02/2018,45.43,0,
06/02/2018,43.64,1,
06/02/2018,43,2,
06/02/2018,42.27,3,
06/02/2018,41.66,4,
06/02/2018,42.05,5,
06/02/2018,48.97,6,
06/02/2018,56.51,7,
06/02/2018,56.13,8,
06/02/2018,54.3,9,
06/02/2018,52.78,10,
06/02/2018,47.5,11,
06/02/2018,46.67,12,
06/02/2018,45.64,13,
06/02/2018,45.02,14,
06/02/2018,48.59,15,
06/02/2018,54.81,16,
06/02/2018,68.92,17,
06/02/2018,67,18,
06/02/2018,60.5,19,
06/02/2018,48,20,
06/02/2018,43.53,21,
06/02/2018,41.51,22,
07/02/2018,40.81,23,
07/02/2018,41.99,0,
07/02/2018,40.81,1,
07/02/2018,40.56,2,
07/02/2018,40.94,3,
07/02/2018,40.73,4,
07/02/2018,42.88,5,
07/02/2018,53.69,6,
07/02/2018,56.14,7,
07/02/2018,56.05,8,
07/02/2018,52.98,9,
07/02/2018,51.25,10,
07/02/2018,45.5,11,
07/02/2018,45.49,12,
07/02/2018,44.67,13,
07/02/2018,46.48,14,
07/02/2018,48.59,15,
07/02/2018,55.1,16,
07/02/2018,68.59,17,
07/02/2018,64.23,18,
